id;Marital_status;Application_mode;Application_order;Course;Daytime_evening_attendance;Previous_qualification;Previous_qualification_grade;Nacionality;Mothers_qualification;Fathers_qualification;Mothers_occupation;Fathers_occupation;Admission_grade;Displaced;Educational_special_needs;Debtor;Tuition_fees_up_to_date;Gender;Scholarship_holder;Age_at_enrollment;International;Curricular_units_1st_sem_credited;Curricular_units_1st_sem_enrolled;Curricular_units_1st_sem_evaluations;Curricular_units_1st_sem_approved;Curricular_units_1st_sem_grade;Curricular_units_1st_sem_without_evaluations;Curricular_units_2nd_sem_credited;Curricular_units_2nd_sem_enrolled;Curricular_units_2nd_sem_evaluations;Curricular_units_2nd_sem_approved;Curricular_units_2nd_sem_grade;Curricular_units_2nd_sem_without_evaluations;Unemployment_rate;Inflation_rate;GDP;Status
JYDO0019;Single;1st phase - general contingent;1;Equinculture;Daytime;1;137.0;1;3;19;3;5;136.3;Yes;No;No;Yes;Female;No;20;No;0;5;8;4;12.5;1;0;5;8;4;12.25;2;10.8;1.4;1.74;Graduate
JYDO0020;Single;1st phase - general contingent;1;Basic Education;Daytime;1;140.0;1;19;19;7;7;124.6;Yes;No;No;Yes;Female;No;18;No;0;7;7;6;11.666666666666666;0;0;7;8;6;13.5;0;16.2;0.3;-0.92;Enrolled
JYDO0021;Single;1st phase - general contingent;3;Animation and Multimedia Design;Daytime;1;122.0;1;1;1;9;8;120.3;No;No;No;Yes;Female;Yes;21;No;0;0;0;0;0.0;0;0;0;0;0;0.0;0;11.1;0.6;2.02;Graduate
JYDO0022;Single;3rd phase - general contingent;4;Oral Hygiene;Daytime;1;127.0;1;1;38;4;7;121.8;Yes;No;No;Yes;Female;No;20;No;0;7;14;7;11.4375;0;0;8;9;8;11.425;0;12.7;3.7;-1.7;Enrolled
JYDO0023;Single;1st phase - general contingent;4;Nursing;Daytime;1;142.0;1;19;19;1;1;125.5;Yes;No;No;Yes;Female;No;18;No;0;8;12;7;12.857142857142858;0;0;8;12;7;12.857142857142858;0;12.7;3.7;-1.7;Graduate
JYDO0024;Single;1st phase - general contingent;4;Advertising and Marketing Management;Daytime;1;125.0;1;1;38;4;7;114.9;Yes;No;No;Yes;Female;Yes;19;No;0;6;8;6;13.375;0;0;6;7;6;12.285714285714286;0;11.1;0.6;2.02;Graduate
JYDO0025;Single;1st phase - general contingent;1;Nursing;Daytime;1;126.0;1;19;19;3;7;123.9;No;No;No;Yes;Female;No;19;No;0;7;8;6;13.296666666666669;0;0;8;9;7;14.114285714285714;0;11.1;0.6;2.02;Graduate
JYDO0026;Single;1st phase - general contingent;1;Social Service;Daytime;1;151.0;1;19;38;9;9;157.0;Yes;No;Yes;Yes;Female;Yes;18;No;0;6;8;5;11.6;0;0;6;12;4;11.0;0;7.6;2.6;0.32;Enrolled
JYDO0027;Single;2nd phase - general contingent;2;Social Service;Daytime;1;115.0;1;19;38;7;8;116.4;Yes;No;No;Yes;Female;No;21;No;0;6;9;6;11.375;0;0;6;9;6;13.285714285714286;0;16.2;0.3;-0.92;Graduate
JYDO0028;Single;1st phase - general contingent;1;Veterinary Nursing;Daytime;1;138.0;1;19;19;3;3;131.0;Yes;No;No;Yes;Female;No;18;No;0;5;9;5;12.666666666666666;2;0;5;7;4;13.0;0;9.4;-0.8;-3.12;Enrolled
JYDO0029;Single;1st phase - general contingent;1;Management;Daytime;1;135.0;1;19;1;9;9;122.1;Yes;No;No;Yes;Female;No;20;No;0;5;6;5;12.0;0;0;5;6;5;12.333333333333334;0;16.2;0.3;-0.92;Graduate
JYDO0030;Single;2nd phase - general contingent;2;Nursing;Daytime;1;127.0;1;3;3;1;10;118.8;Yes;No;No;Yes;Male;No;19;No;0;7;9;6;12.933333333333332;0;0;7;7;6;13.716666666666669;0;16.2;0.3;-0.92;Enrolled
JYDO0031;Single;Technological specialization diploma holders;1;Agronomy;Daytime;39;150.0;1;4;5;4;2;150.0;No;No;No;Yes;Male;No;21;No;0;6;15;5;11.857142857142858;0;0;6;17;5;10.571428571428571;0;16.2;0.3;-0.92;Enrolled
JYDO0032;Single;Change of institution/course;1;Communication Design;Daytime;1;125.0;1;42;3;125;124;130.0;Yes;No;No;Yes;Male;No;20;No;2;6;7;6;12.833333333333334;0;0;6;9;4;13.4;0;8.9;1.4;3.51;Graduate
JYDO0033;Single;1st phase - general contingent;1;Management;Daytime;1;143.0;1;1;1;4;6;138.8;No;No;No;No;Male;No;18;No;0;5;9;3;11.333333333333334;0;0;5;8;2;13.5;0;8.9;1.4;3.51;Enrolled
JYDO0034;Single;3rd phase - general contingent;1;Social Service (evening attendance);Evening;1;138.0;1;19;1;9;5;134.5;Yes;No;No;Yes;Female;No;19;No;0;6;6;6;12.666666666666666;0;0;6;8;6;14.375;0;12.4;0.5;1.79;Graduate
JYDO0035;Single;1st phase - general contingent;1;Management (evening attendance);Evening;1;130.0;1;2;37;3;9;131.4;No;No;No;Yes;Male;No;34;No;0;5;6;5;12.4;0;0;5;9;5;13.428571428571429;0;13.9;-0.3;0.79;Graduate
JYDO0036;Single;Over 23 years old;1;Biofuel Production Technologies;Daytime;1;130.0;1;38;37;9;6;102.5;No;No;Yes;No;Male;No;37;No;0;7;7;0;0.0;0;0;7;7;1;10.0;0;8.9;1.4;3.51;Dropout
JYDO0037;Single;Over 23 years old;1;Informatics Engineering;Daytime;10;133.1;1;34;37;0;0;128.8;Yes;No;No;Yes;Male;No;43;No;0;5;0;0;0.0;0;0;5;0;0;0.0;0;7.6;2.6;0.32;Dropout
JYDO0038;Single;Change of course;1;Management;Daytime;1;140.0;1;37;37;6;6;122.9;No;No;No;Yes;Female;No;55;No;0;5;10;1;10.0;0;0;5;8;2;12.0;2;16.2;0.3;-0.92;Dropout
JYDO0039;Divorced;Over 23 years old;1;Management (evening attendance);Evening;1;120.0;1;19;19;9;3;113.9;Yes;No;No;Yes;Female;No;39;No;0;5;8;5;11.0;0;0;5;5;5;11.6;0;7.6;2.6;0.32;Graduate
JYDO0040;Single;Technological specialization diploma holders;1;Equinculture;Daytime;39;120.0;6;4;4;3;6;120.0;No;No;Yes;No;Female;No;20;Yes;2;6;13;3;11.666666666666666;0;1;6;11;3;12.0;0;12.4;0.5;1.79;Dropout
JYDO0041;Single;1st phase - general contingent;5;Journalism and Communication;Daytime;1;126.0;1;3;3;2;2;121.1;No;No;Yes;Yes;Female;No;18;No;0;6;6;4;12.75;0;0;5;5;0;0.0;0;12.7;3.7;-1.7;Dropout
JYDO0042;Single;1st phase - general contingent;2;Management;Daytime;1;133.0;1;3;19;2;7;120.4;Yes;No;No;Yes;Female;No;22;No;0;5;5;5;14.8;0;0;5;5;5;15.8;0;8.9;1.4;3.51;Graduate
JYDO0043;Single;1st phase - general contingent;6;Nursing;Daytime;1;103.0;1;1;3;2;2;100.6;Yes;Yes;No;Yes;Female;No;22;No;0;7;9;5;13.928;0;0;8;9;7;14.342857142857142;0;11.1;0.6;2.02;Graduate
JYDO0044;Single;2nd phase - general contingent;1;Journalism and Communication;Daytime;1;120.0;1;1;38;5;5;121.4;No;No;No;No;Female;No;20;No;0;6;7;4;13.0;0;0;6;7;5;13.8;0;12.4;0.5;1.79;Dropout
JYDO0045;Single;Over 23 years old;1;Management (evening attendance);Evening;1;133.1;1;37;37;9;9;109.7;No;No;No;Yes;Female;No;29;No;0;5;0;0;0.0;0;0;5;0;0;0.0;0;16.2;0.3;-0.92;Dropout
JYDO0046;Single;2nd phase - general contingent;1;Management (evening attendance);Evening;1;154.0;1;38;38;4;5;134.1;No;No;No;Yes;Female;No;24;No;0;5;9;2;11.5;0;0;5;11;3;14.333333333333334;1;7.6;2.6;0.32;Enrolled
JYDO0047;Single;2nd phase - general contingent;2;Social Service;Daytime;1;130.0;1;19;19;9;9;127.6;Yes;No;No;Yes;Female;No;18;No;0;6;6;6;11.666666666666666;0;0;6;8;5;13.2;0;11.1;0.6;2.02;Graduate
JYDO0048;Single;2nd phase - general contingent;6;Nursing;Daytime;1;132.0;1;37;19;7;7;132.4;Yes;No;No;Yes;Female;Yes;22;No;0;7;8;6;13.516666666666666;0;0;8;9;7;13.771428571428572;0;11.1;0.6;2.02;Graduate
JYDO0049;Single;Technological specialization diploma holders;1;Social Service (evening attendance);Evening;39;130.0;1;1;19;9;9;133.4;No;No;No;Yes;Female;Yes;21;No;3;6;6;6;11.5;0;2;6;7;6;13.285714285714286;0;12.4;0.5;1.79;Graduate
JYDO0050;Single;1st phase - general contingent;1;Social Service;Daytime;1;139.0;1;37;38;9;9;126.1;No;No;No;Yes;Female;Yes;19;No;0;6;7;5;12.333333333333334;0;0;6;7;6;12.833333333333334;0;12.7;3.7;-1.7;Graduate
JYDO0051;Single;Over 23 years old;1;Tourism;Daytime;1;130.0;1;19;38;9;7;113.5;No;No;No;Yes;Female;Yes;24;No;0;6;6;6;13.666666666666666;0;0;6;6;6;14.166666666666666;0;12.4;0.5;1.79;Graduate
JYDO0052;Single;1st phase - general contingent;1;Nursing;Daytime;1;139.0;1;37;38;6;6;121.3;Yes;No;No;Yes;Female;Yes;19;No;0;8;10;6;11.833333333333334;0;0;8;10;6;11.833333333333334;0;9.4;-0.8;-3.12;Enrolled
JYDO0053;Single;1st phase - general contingent;1;Journalism and Communication;Daytime;1;127.0;1;1;19;7;7;121.8;Yes;No;No;Yes;Female;Yes;20;No;0;6;11;4;14.0;0;0;6;12;3;11.0;0;9.4;-0.8;-3.12;Enrolled
JYDO0054;Single;1st phase - general contingent;3;Equinculture;Daytime;1;167.0;1;37;37;90;90;159.3;No;No;No;Yes;Female;No;19;No;0;5;7;5;14.714285714285714;0;0;5;5;5;15.8;0;7.6;2.6;0.32;Graduate
JYDO0055;Single;Over 23 years old;1;Management (evening attendance);Evening;1;130.0;1;38;38;9;9;120.0;No;No;No;Yes;Female;No;27;No;0;5;12;5;10.6;0;0;5;10;5;11.0;0;9.4;-0.8;-3.12;Dropout
JYDO0056;Single;1st phase - general contingent;1;Nursing;Daytime;1;130.0;1;1;19;5;5;129.1;Yes;No;No;Yes;Female;No;18;No;0;7;9;7;13.044444444444444;0;0;8;10;8;13.595;0;15.5;2.8;-4.06;Graduate
JYDO0057;Married;Holders of other higher courses;1;Tourism;Daytime;3;130.0;1;1;3;4;3;130.0;No;No;No;Yes;Female;No;39;No;0;6;10;0;0.0;0;0;6;6;0;0.0;0;12.4;0.5;1.79;Dropout
JYDO0058;Single;Over 23 years old;1;Equinculture;Daytime;40;129.0;1;3;3;2;2;155.3;Yes;No;No;Yes;Female;No;27;No;0;6;9;5;13.0;0;5;11;13;10;12.9;0;12.4;0.5;1.79;Dropout
JYDO0059;Single;2nd phase - general contingent;1;Nursing;Daytime;1;141.0;1;38;38;7;10;139.8;Yes;No;No;Yes;Female;No;18;No;0;8;8;8;14.935;0;0;8;8;8;14.935;0;9.4;-0.8;-3.12;Graduate
JYDO0060;Single;1st phase - general contingent;3;Animation and Multimedia Design;Daytime;1;125.0;1;38;37;4;9;115.2;Yes;No;No;Yes;Female;No;18;No;0;0;0;0;0.0;0;0;0;0;0;0.0;0;7.6;2.6;0.32;Enrolled
JYDO0061;Single;1st phase - general contingent;2;Nursing;Daytime;1;125.0;1;19;19;9;9;114.9;No;No;No;Yes;Female;No;18;No;0;7;8;6;13.133333333333333;0;0;8;12;7;12.221428571428572;0;16.2;0.3;-0.92;Graduate
JYDO0062;Single;Technological specialization diploma holders;1;Social Service;Daytime;39;130.0;1;19;1;9;9;131.9;No;No;No;Yes;Female;Yes;21;No;3;6;7;6;12.0;0;2;6;7;6;12.0;0;13.9;-0.3;0.79;Graduate
JYDO0063;Single;2nd phase - general contingent;3;Animation and Multimedia Design;Daytime;1;133.0;1;1;37;4;7;126.0;Yes;No;No;Yes;Male;Yes;19;No;0;0;0;0;0.0;0;0;0;0;0;0.0;0;10.8;1.4;1.74;Enrolled
JYDO0064;Single;2nd phase - general contingent;1;Communication Design;Daytime;1;127.0;1;1;1;3;4;130.2;Yes;No;No;Yes;Male;No;19;No;0;6;6;5;11.4;0;0;6;8;1;10.0;0;10.8;1.4;1.74;Enrolled
JYDO0065;Single;Change of course;1;Communication Design;Daytime;1;116.0;1;1;1;3;3;120.9;No;No;No;Yes;Male;No;24;No;0;6;6;0;0.0;0;0;6;6;0;0.0;0;12.7;3.7;-1.7;Enrolled
JYDO0066;Divorced;Transfer;1;Nursing;Daytime;19;133.1;1;1;1;5;5;126.0;Yes;No;No;Yes;Male;No;29;No;2;7;10;5;11.9;0;1;8;10;5;11.0;0;13.9;-0.3;0.79;Dropout
JYDO0067;Single;1st phase - general contingent;3;Animation and Multimedia Design;Daytime;1;139.0;1;19;19;5;3;128.2;Yes;No;No;Yes;Male;Yes;19;No;0;0;0;0;0.0;0;0;0;0;0;0.0;0;10.8;1.4;1.74;Graduate
JYDO0068;Single;Technological specialization diploma holders;1;Agronomy;Daytime;39;130.0;1;19;37;9;9;130.0;Yes;No;No;Yes;Male;No;23;No;0;6;8;6;12.571428571428571;0;0;6;7;6;12.428571428571429;0;8.9;1.4;3.51;Graduate
JYDO0069;Single;1st phase - general contingent;3;Management;Daytime;1;125.0;1;1;38;7;7;120.1;No;No;Yes;Yes;Male;No;19;No;0;5;8;5;11.2;0;0;5;10;4;10.75;3;16.2;0.3;-0.92;Dropout
JYDO0070;Single;Over 23 years old;1;Tourism;Daytime;1;160.0;1;19;37;7;10;100.0;No;No;No;Yes;Male;No;26;No;0;6;7;6;12.0;0;0;6;8;5;10.8;0;12.7;3.7;-1.7;Enrolled
JYDO0071;Single;2nd phase - general contingent;1;Management;Daytime;1;148.0;1;38;37;5;5;134.0;No;No;No;Yes;Male;No;18;No;0;5;9;0;0.0;0;0;5;5;0;0.0;0;7.6;2.6;0.32;Enrolled
JYDO0072;Single;2nd phase - general contingent;1;Nursing;Daytime;1;150.0;1;37;19;8;4;130.8;No;No;No;Yes;Male;No;24;No;0;7;8;7;11.975;0;0;8;8;8;13.75;0;13.9;-0.3;0.79;Graduate
JYDO0073;Single;1st phase - general contingent;1;Animation and Multimedia Design;Daytime;1;141.0;1;19;19;5;10;135.8;Yes;No;No;Yes;Male;No;19;No;0;0;0;0;0.0;0;0;0;0;0;0.0;0;15.5;2.8;-4.06;Dropout
JYDO0074;Single;2nd phase - general contingent;4;Tourism;Daytime;1;118.0;1;38;37;5;7;111.7;Yes;No;No;Yes;Male;No;18;No;0;6;12;3;11.666666666666666;0;0;6;12;1;12.0;0;12.4;0.5;1.79;Dropout
JYDO0075;Single;1st phase - general contingent;2;Journalism and Communication;Daytime;1;142.0;1;38;38;9;9;132.9;Yes;No;No;Yes;Male;No;18;No;0;6;8;6;12.333333333333334;0;0;6;11;3;12.333333333333334;0;10.8;1.4;1.74;Graduate
JYDO0076;Single;2nd phase - general contingent;3;Management;Daytime;1;120.0;1;19;19;4;7;115.5;Yes;No;Yes;Yes;Male;No;18;No;0;5;8;3;10.333333333333334;0;0;5;11;3;10.857142857142858;0;10.8;1.4;1.74;Dropout
JYDO0077;Single;3rd phase - general contingent;4;Tourism;Daytime;1;106.0;1;19;37;7;7;106.0;Yes;No;No;Yes;Male;Yes;21;No;0;6;8;4;10.5;0;0;6;11;1;11.0;0;9.4;-0.8;-3.12;Dropout
JYDO0078;Single;2nd phase - general contingent;4;Journalism and Communication;Daytime;1;121.0;1;1;19;9;8;120.3;Yes;No;Yes;Yes;Male;Yes;19;No;0;6;6;6;13.666666666666666;0;0;6;6;6;13.333333333333334;0;8.9;1.4;3.51;Graduate
JYDO0079;Single;2nd phase - general contingent;4;Nursing;Daytime;1;150.0;1;38;37;9;9;130.8;No;No;No;Yes;Male;Yes;22;No;0;7;7;7;14.842857142857142;0;0;8;9;8;15.055555555555555;0;16.2;0.3;-0.92;Graduate
JYDO0080;Married;Over 23 years old;1;Social Service (evening attendance);Evening;1;120.0;1;37;37;9;6;117.0;No;No;No;Yes;Male;No;33;No;0;6;8;6;12.0;0;0;6;6;6;11.666666666666666;0;10.8;1.4;1.74;Graduate
JYDO0081;Single;1st phase - general contingent;6;Basic Education;Daytime;1;114.0;1;19;19;9;9;110.2;Yes;No;No;Yes;Male;No;20;No;0;6;8;5;12.2;0;0;6;7;5;12.2;0;10.8;1.4;1.74;Dropout
JYDO0082;Single;Over 23 years old;1;Management (evening attendance);Evening;2;140.0;1;3;3;2;2;155.7;Yes;No;No;Yes;Male;No;35;No;0;1;1;0;0.0;1;0;5;0;0;0.0;0;10.8;1.4;1.74;Dropout
JYDO0083;Single;Over 23 years old;1;Agronomy;Daytime;4;160.0;1;3;3;4;2;180.4;No;No;Yes;Yes;Male;No;24;No;6;12;17;6;12.166666666666666;0;7;12;14;10;13.3;0;12.4;0.5;1.79;Dropout
JYDO0084;Single;2nd phase - general contingent;1;Tourism;Daytime;1;120.0;1;19;19;4;4;125.5;No;No;No;Yes;Male;No;18;No;0;5;6;5;12.0;0;0;5;8;3;11.333333333333334;0;12.7;3.7;-1.7;Enrolled
JYDO0085;Married;Over 23 years old;1;Social Service (evening attendance);Evening;1;130.0;1;37;37;9;6;110.0;Yes;No;No;Yes;Female;No;33;No;0;6;7;6;11.0;0;0;6;11;5;11.0;0;9.4;-0.8;-3.12;Graduate
JYDO0086;Single;Transfer;1;Nursing;Daytime;1;160.0;1;37;38;9;7;161.0;Yes;No;No;Yes;Female;Yes;22;No;0;8;8;7;13.08;0;0;8;8;7;13.08;0;10.8;1.4;1.74;Graduate
JYDO0087;Single;Over 23 years old;1;Advertising and Marketing Management;Daytime;1;120.0;1;1;19;4;5;100.0;No;No;No;Yes;Female;Yes;25;No;0;5;7;4;10.5;0;0;5;7;5;11.6;0;9.4;-0.8;-3.12;Graduate
JYDO0088;Single;2nd phase - general contingent;1;Communication Design;Daytime;1;124.0;1;19;38;4;0;117.6;Yes;No;No;Yes;Male;No;20;No;0;6;9;6;10.666666666666666;1;0;6;6;5;11.2;0;7.6;2.6;0.32;Graduate
JYDO0089;Single;1st phase - general contingent;6;Management;Daytime;1;143.0;1;38;37;9;9;128.7;Yes;No;No;Yes;Male;No;23;No;0;5;6;4;14.0;0;0;5;5;5;13.8;0;11.1;0.6;2.02;Enrolled
JYDO0090;Single;Change of course;2;Informatics Engineering;Daytime;1;115.0;1;38;19;9;6;112.2;Yes;No;Yes;Yes;Male;No;18;No;0;5;9;2;10.0;0;0;5;9;0;0.0;0;15.5;2.8;-4.06;Enrolled
JYDO0091;Single;Over 23 years old;1;Nursing;Daytime;1;133.1;1;1;1;4;10;100.8;No;No;No;Yes;Male;No;24;No;0;7;18;0;0.0;0;0;7;7;0;0.0;0;13.9;-0.3;0.79;Dropout
JYDO0092;Single;2nd phase - general contingent;2;Journalism and Communication;Daytime;1;133.1;41;19;1;9;9;105.0;Yes;No;No;No;Female;No;21;Yes;0;6;6;6;14.0;0;0;6;6;6;13.5;0;8.9;1.4;3.51;Graduate
JYDO0093;Single;International student (bachelor);1;Equinculture;Daytime;1;133.1;41;1;1;4;4;100.0;No;No;No;Yes;Female;No;26;Yes;0;6;7;2;12.0;1;0;6;6;0;0.0;0;8.9;1.4;3.51;Dropout
JYDO0094;Married;Over 23 years old;1;Basic Education;Daytime;10;133.1;1;37;34;0;0;115.5;No;No;No;Yes;Female;No;39;No;0;6;12;3;12.666666666666666;0;0;6;14;0;0.0;1;7.6;2.6;0.32;Dropout
JYDO0095;Married;Over 23 years old;1;Social Service (evening attendance);Evening;1;133.1;1;37;19;9;9;114.0;No;No;No;Yes;Female;No;44;No;2;8;11;8;11.875;0;0;6;7;6;12.333333333333334;0;12.7;3.7;-1.7;Graduate
JYDO0096;Single;International student (bachelor);1;Informatics Engineering;Daytime;1;130.0;26;38;3;9;2;137.0;Yes;No;No;Yes;Male;No;19;Yes;0;5;9;5;14.0;0;0;5;11;3;13.25;0;13.9;-0.3;0.79;Enrolled
JYDO0097;Single;1st phase - general contingent;5;Journalism and Communication;Daytime;1;135.0;1;37;1;5;5;124.9;Yes;No;No;Yes;Female;No;18;No;0;6;6;6;13.666666666666666;0;0;6;6;6;13.333333333333334;0;8.9;1.4;3.51;Graduate
JYDO0098;Single;1st phase - general contingent;5;Nursing;Daytime;1;132.0;1;37;37;7;7;120.3;Yes;No;No;Yes;Female;Yes;18;No;0;7;7;7;13.75;0;0;8;9;8;14.47777777777778;0;12.4;0.5;1.79;Graduate
JYDO0099;Single;1st phase - general contingent;1;Veterinary Nursing;Daytime;1;135.0;1;1;2;9;1;134.3;Yes;No;No;Yes;Female;No;19;No;0;5;7;5;14.2;2;0;5;7;5;13.8;0;12.7;3.7;-1.7;Enrolled
JYDO0100;Single;1st phase - general contingent;4;Nursing;Daytime;1;115.0;1;3;3;2;2;111.5;Yes;No;Yes;No;Female;No;19;No;0;7;10;4;11.96;0;0;7;7;0;0.0;0;13.9;-0.3;0.79;Dropout
JYDO0101;Single;Short cycle diploma holders;1;Veterinary Nursing;Daytime;42;130.0;1;38;38;9;9;128.8;No;No;No;Yes;Female;No;21;No;7;10;12;8;12.875;0;4;9;14;5;13.4;0;8.9;1.4;3.51;Dropout
JYDO0102;Single;1st phase - general contingent;4;Animation and Multimedia Design;Daytime;1;133.1;1;1;1;9;10;110.0;Yes;No;No;Yes;Female;No;20;No;0;0;0;0;0.0;0;0;0;0;0;0.0;0;16.2;0.3;-0.92;Graduate
JYDO0103;Married;Over 23 years old;1;Social Service (evening attendance);Evening;1;130.0;1;37;37;6;5;113.5;Yes;No;No;Yes;Female;No;36;No;0;6;0;0;0.0;0;0;6;0;0;0.0;0;9.4;-0.8;-3.12;Dropout
JYDO0104;Divorced;Over 23 years old;1;Agronomy;Daytime;12;133.1;1;37;37;9;6;160.0;No;No;No;Yes;Female;No;43;No;13;18;19;18;14.63157894736842;0;10;13;14;13;14.23076923076923;1;15.5;2.8;-4.06;Graduate
JYDO0105;Single;3rd phase - general contingent;1;Basic Education;Daytime;1;123.0;1;19;19;9;7;117.4;Yes;No;No;Yes;Female;No;19;No;0;6;0;0;0.0;0;0;6;0;0;0.0;0;11.1;0.6;2.02;Dropout
JYDO0106;Single;Change of institution/course;1;Communication Design;Daytime;1;130.0;1;3;1;2;8;122.2;No;No;Yes;Yes;Female;No;20;No;4;10;12;10;13.0;0;5;11;11;11;12.272727272727272;0;11.1;0.6;2.02;Graduate
JYDO0107;Single;1st phase - general contingent;2;Social Service;Daytime;1;122.0;1;37;38;4;7;118.2;Yes;No;No;Yes;Female;No;19;No;0;6;0;0;0.0;0;0;6;0;0;0.0;0;16.2;0.3;-0.92;Dropout
